cle	texte
log.initial	Attribuez les 10 points pour former la couche permanente du héros.
log.build_reset	Build réinitialisé. Les PA restent verrouillés.
log.initiative	Vous êtes le plus rapide : vous frappez en premier !
log.enemy_initiative	{opponent} est plus rapide que vous ! {IlElle} frappe en premier, mais vous gagnez {guard} points de garde…
log.capture_start	{creature} jauge votre posture… La capture commence !
log.perception_reveals	Perception : vous repérez un objectif caché lié aux attaques marquées.
log.perception_low	Perception faible : certains objectifs de capture restent flous.
log.damage	{label} inflige {damage} dégâts{critical}.
log.damage_power	{label} frappe avec une puissance de {power} !
log.damage_critical_label	{label} critique
log.damage_defense	{label} percute {target} à {power} ! Sa résistance tient bon, {damage} dégâts encaissés.
log.damage_defense_alt_1	{label} cogne à {power} ! La défense de {target} fait rempart et réduit les dégâts à {damage}.
log.damage_defense_alt_2	Une attaque de {power} ! La défense de {target} la dévie, il ne reste que {damage} dégâts.
log.damage_defense_alt_3	{label} assène une frappe de {power} ! {target} tient bon grâce à sa défense et ne prend que {damage} dégâts.
log.damage_guard	{label} frappe avec une puissance de {power} ! Mais la garde de {target} réduit les dégâts à {damage}.
log.damage_defense_guard	{label} frappe avec une puissance de {power} ! Mais la défense et la garde de {target} réduisent les dégâts à {damage}.
log.enemy_damage_defense	{label} frappe avec une puissance de {power} ! Mais votre défense réduit les dégâts à {damage}.
log.enemy_damage_defense_alt_1	Une attaque de {power} ! Votre défense la dévie, il ne reste que {damage} dégâts.
log.enemy_damage_guard	{label} frappe avec une puissance de {power} ! Mais votre garde réduit les dégâts à {damage}.
log.enemy_damage_guard_alt_1	{label} assène une frappe de {power} ! Votre garde tient bon et ne laisse passer que {damage}…
log.enemy_damage_guard_alt_2	{label} déchaîne une puissance de {power} ! Mais votre garde amortit le choc à {damage}.
log.enemy_damage_guard_alt_3	Coup d'une puissance de {power} de {label} ! Votre garde ne laisse passer que {damage} dégâts…
log.enemy_damage_defense_guard	{label} frappe avec une puissance de {power} ! Mais votre défense et votre garde réduisent les dégâts à {damage}.
log.enemy_damage_defense_guard_alt_1	Les {power} dégâts infligés par {label} sont réduits à {damage} grâce à votre défense et votre garde !
log.miss	{label} manque sa cible…
log.critical_suffix	 critiques
log.critical_interrupt	Le critique casse la concentration de {creature} !
log.no_ap.entaille	Pas assez de PA pour Entaille.
log.no_ap.garde	Pas assez de PA pour Garde.
log.no_ap.feinte	Pas assez de PA pour Feinte.
log.no_ap.art	Pas assez de PA pour Art.
log.no_ap.capture	Pas assez de PA pour tenter la capture.
log.garde	Vous levez le bouclier et gagnez {guard} garde.
log.affix_rafale_ready	Instinct de rafale actif ! Jouez Entaille pour gagner +{bonus}% Critique.
log.affix_guard_bonus	L'Instinct de garde renforce votre bouclier : +{bonus} garde.
log.affix_morsure_sure	L'Instinct de morsure sûre frappe lourdement {creature} !
log.affix_ecaille_guard	L'Instinct d'écaille ajoute {bonus} points à votre garde !
log.affix_concentration_ready	Vous n'avez pas consommé tous vos PA : l'Instinct de concentration vous rend plus puissant !
log.affix_souffle_relatif_success	L'Instinct de souffle relatif vous donne {gain} PA supplémentaire !
log.affix_souffle_relatif_fail	L'Instinct de souffle relatif échoue à donner 1 PA supplémentaire…
log.affix_elan_de_survie_success	L'Instinct d'élan de survie vous donne {gain} PA supplémentaire !
log.affix_elan_de_survie_fail	L'Instinct d'élan de survie ne parvient pas à vous donner 1 PA supplémentaire…
log.affix_retour_de_geste_success	L'Instinct de retour de geste vous donne {gain} PA supplémentaire !
log.affix_retour_de_geste_fail	L'Instinct de retour de geste échoue à vous donner 1 PA supplémentaire…
log.type_advantage_player	Avantage de type : votre build {attackerType} frappe fort contre {defenderType}.
log.type_advantage_enemy	Avantage de type : le build {attackerType} de {creature} frappe fort contre {defenderType}.
log.type_resist_player	Désavantage de type : votre build {attackerType} peine contre {defenderType}.
log.type_resist_enemy	Désavantage de type : le build {attackerType} de {creature} peine contre {defenderType}.
log.enemy_affix_rafale_ready	L'Instinct de {creature} s'active : sa prochaine Entaille gagne +{bonus}% Critique.
log.enemy_affix_guard_bonus	L'Instinct de {creature} renforce sa garde : +{bonus} garde.
log.enemy_affix_morsure_sure	L'Instinct de morsure sûre de {creature} alourdit son coup !
log.enemy_affix_ecaille_guard	L'Instinct d'écaille de {creature} lui ajoute {bonus} garde !
log.enemy_affix_concentration_ready	{creature} conserve ses PA : son Instinct de concentration prépare sa prochaine attaque.
log.enemy_affix_souffle_relatif_success	L'Instinct de souffle relatif de {creature} lui donne {gain} PA supplémentaire !
log.enemy_affix_souffle_relatif_fail	L'Instinct de souffle relatif de {creature} échoue à donner 1 PA supplémentaire…
log.enemy_affix_elan_de_survie_success	L'Instinct d'élan de survie de {creature} lui donne {gain} PA supplémentaire !
log.enemy_affix_elan_de_survie_fail	L'Instinct d'élan de survie de {creature} échoue à donner 1 PA supplémentaire…
log.enemy_affix_retour_de_geste_success	L'Instinct de retour de geste de {creature} lui donne {gain} PA supplémentaire !
log.enemy_affix_retour_de_geste_fail	L'Instinct de retour de geste de {creature} échoue à donner 1 PA supplémentaire…
log.art_remove_ap	{art} enlève {ap} PA à {creature} !
log.art_self_guard	Vous gagnez {guard} de garde grâce à votre Art !
log.art_refund_pa	L'Art vous donne {ap} PA.
log.feinte_interrupt	La Feinte interrompt la charge de {creature} !
log.feinte_reduce_attack	{creature} a utilisé {action}{critical}, mais votre Feinte l'a déséquilibré !
log.art_interrupt	L'Art brise la charge de {creature} !
log.signature_not_ready	La Signature n'est pas encore chargée.
log.signature_charged_generic	La signature {signature} de {name} est chargée !
log.signature_charged_triade	La signature {signature} de {name} est chargée ! Élément actif : {element}.
log.signature_charged_alchemy	La signature {signature} de {name} est chargée ! Échange de tempo prêt.
log.signature_charged_assault	La signature {signature} de {name} est chargée ! Gardez des PA.
log.signature_charged_lock	La signature {signature} de {name} est chargée ! Votre Garde est menacée.
log.signature_charged_fire	La signature {signature} de {name} est chargée ! Brûlure prête.
log.signature_charged_water	La signature {signature} de {name} est chargée ! Contrôle prêt.
log.signature_charged_wind	La signature {signature} de {name} est chargée ! Rupture prête.
log.signature_charged_utility	La signature {signature} de {name} est chargée ! +1 PA prêt.
log.signature_charged_fire_water	La signature {signature} de {name} est chargée ! Brûlure et contrôle prêts.
log.signature_charged_fire_wind	La signature {signature} de {name} est chargée ! Pression rapide prête.
log.signature_charged_water_wind	La signature {signature} de {name} est chargée ! Garde menacée.
log.signature_ready_generic	{signature} est prête.
log.signature_ready_triade	{signature} est prête. Élément actif : {element}.
log.signature_ready_alchemy	{signature} est prête. Échange de tempo prêt.
log.signature_ready_assault	{signature} est prête. Gardez des PA.
log.signature_ready_lock	{signature} est prête. Votre Garde est menacée.
log.signature_ready_fire	{signature} est prête. Brûlure prête.
log.signature_ready_water	{signature} est prête. Contrôle prêt.
log.signature_ready_wind	{signature} est prête. Rupture prête.
log.signature_ready_utility	{signature} est prête. +1 PA prêt.
log.signature_ready_fire_water	{signature} est prête. Brûlure et contrôle prêts.
log.signature_ready_fire_wind	{signature} est prête. Pression rapide prête.
log.signature_ready_water_wind	{signature} est prête. Garde menacée.
log.signature_fire	{signature} de {creature} inflige {damage} dégâts à {target} et le brûle !
log.signature_water	{signature} de {creature} retire {ap} PA à {target} et le paralyse !
log.signature_wind	{signature} de {creature} réduit la Garde de {target} de {guard} points, inflige {damage} dégâts de rupture et lui inflige Blessure !
log.signature_utility	{signature} de {creature} donne +{gain} PA !
log.signature_alchemy	{signature} de {creature} donne +{gain} PA et retire {ap} PA à {target} !
log.signature_enemy_fire	{signature} de {creature} inflige {damage} dégâts et vous brûle !
log.signature_enemy_water	{signature} de {creature} retire {ap} PA pour votre prochain tour et vous paralyse !
log.signature_enemy_wind	{signature} de {creature} réduit votre Garde de {guard} points, inflige {damage} dégâts de rupture et vous inflige Blessure !
log.signature_enemy_utility	{signature} de {creature} lui donne +{gain} PA !
log.signature_enemy_alchemy	{signature} de {creature} lui donne +{gain} PA et vous retire {ap} PA au prochain tour !
log.signature_enemy_progress	La signature {signature} de {creature} est chargée à {charge} %.
log.signature_enemy_prepare	{creature} prépare {signature}. {detail}
